text,label,category,split
I have been thinking about ending my life lately,1,current_ideation,train
I do not want to be alive tomorrow,1,current_ideation,train
I keep wishing I could disappear permanently,1,current_ideation,validation
I feel as if there is no reason for me to continue,1,current_ideation,train
I have started thinking that death is my only escape,1,current_ideation,test
I wonder whether everyone would be better without me,1,current_ideation,train
My thoughts keep returning to suicide at night,1,current_ideation,train
I cannot picture myself having a future anymore,1,current_ideation,train
I have been questioning whether my life is worth living,1,current_ideation,train
I sometimes hope that I will not wake up,1,current_ideation,train
I feel ready to give up on being alive,1,current_ideation,train
I keep imagining that I am no longer here,1,current_ideation,validation
I am afraid my suicidal thoughts are getting stronger,1,current_ideation,train
I have thought about taking my own life this week,1,current_ideation,train
I no longer care whether I survive,1,current_ideation,validation
I feel trapped and think dying would stop the pain,1,current_ideation,validation
I have been wondering what it would be like if I were gone,1,current_ideation,train
I cannot stop thinking that life should end for me,1,current_ideation,train
I feel that I have nothing left to live for,1,current_ideation,train
I am thinking about suicide more often than before,1,current_ideation,test
I wish my life could simply stop tonight,1,current_ideation,train
I have caught myself wanting to die several times today,1,current_ideation,train
I feel like I should not exist anymore,1,current_ideation,test
I have been considering whether to end everything,1,current_ideation,test
I am scared because I do not want to stay alive,1,current_ideation,train
I feel an urge to hurt myself when I am alone,1,self_harm_urge,train
I am struggling not to cut myself again,1,self_harm_urge,train
The urge to harm myself returned this morning,1,self_harm_urge,train
I keep wanting to injure myself when I feel overwhelmed,1,self_harm_urge,test
I am tempted to relapse into self-harm tonight,1,self_harm_urge,test
I worry that I may hurt myself after everyone leaves,1,self_harm_urge,train
I have been fighting the impulse to harm myself all day,1,self_harm_urge,train
I feel like taking my pain out on my own body,1,self_harm_urge,train
My self-harm urges have become difficult to ignore,1,self_harm_urge,train
I am having thoughts about cutting myself again,1,self_harm_urge,train
I want to hurt myself even though I know I should not,1,self_harm_urge,train
I keep thinking about injuring myself to cope,1,self_harm_urge,train
I am afraid I will give in to the urge to self-harm,1,self_harm_urge,validation
I feel unsafe because I want to harm myself,1,self_harm_urge,train
I have an urge to punish myself physically,1,self_harm_urge,test
I nearly harmed myself during a panic attack today,1,self_harm_urge,validation
I am trying to resist thoughts of hurting my body,1,self_harm_urge,train
